player_id,player,Nation,Born
1,Aaron Ramsey,WAL,1990.0
2,Ainsley Maitland-Niles,ENG,1997.0
3,Alex Iwobi,NGA,1996.0
4,Alex Oxlade-Chamberlain,ENG,1993.0
5,Alexandre Lacazette,FRA,1991.0
6,Alexis Sánchez,CHI,1988.0
7,Calum Chambers,ENG,1995.0
8,Danny Welbeck,ENG,1990.0
9,David Ospina,COL,1988.0
10,Eddie Nketiah,ENG,1999.0
11,Francis Coquelin,FRA,1991.0
12,Granit Xhaka,SUI,1992.0
13,Henrikh Mkhitaryan,ARM,1989.0
14,Hector Bellerin,ESP,1995.0
15,Jack Wilshere,ENG,1992.0
16,Joe Willock,ENG,1999.0
17,Konstantinos Mavropanos,GRE,1997.0
18,Laurent Koscielny,FRA,1985.0
19,Mesut Özil,GER,1988.0
20,Mohamed Elneny,EGY,1992.0
21,Nacho Monreal,ESP,1986.0
22,Olivier Giroud,FRA,1986.0
23,Per Mertesacker,GER,1984.0
24,Petr Cech,CZE,1982.0
25,Pierre-Emerick Aubameyang,GAB,1989.0
26,Reiss Nelson,ENG,1999.0
27,Rob Holding,ENG,1995.0
28,Sead Kolašinac,BIH,1993.0
29,Shkodran Mustafi,GER,1992.0
30,Theo Walcott,ENG,1989.0
31,Adam Smith,ENG,1991.0
32,Andrew Surman,ENG,1986.0
33,Asmir Begović,BIH,1987.0
34,Benik Afobe,COD,1993.0
35,Callum Wilson,ENG,1992.0
36,Charlie Daniels,ENG,1986.0
37,Dan Gosling,ENG,1990.0
38,Emerson Hyndman,USA,1996.0
39,Harry Arter,IRL,1989.0
40,Jack Simpson,ENG,1996.0
41,Jermain Defoe,ENG,1982.0
42,Jordon Ibe,ENG,1995.0
43,Joshua King,NOR,1992.0
44,Junior Stanislas,ENG,1989.0
45,Lewis Cook,ENG,1997.0
46,Lys Mousset,FRA,1996.0
47,Marc Pugh,ENG,1987.0
48,Nathan Aké,NED,1995.0
49,Ryan Fraser,SCO,1994.0
50,Simon Francis,ENG,1985.0
51,Steve Cook,ENG,1991.0
52,Tyrone Mings,ENG,1993.0
53,Anthony Knockaert,FRA,1991.0
54,Beram Kayal,ISR,1988.0
55,Bruno,ESP,1980.0
56,Connor Goldson,ENG,1992.0
57,Dale Stephens,ENG,1989.0
58,Davy Pröpper,NED,1991.0
59,Ezequiel Schelotto,ITA,1989.0
60,Gaëtan Bong,CMR,1988.0
61,Glenn Murray,ENG,1983.0
62,Izzy Brown,ENG,1997.0
63,Jamie Murphy,SCO,1989.0
64,José Izquierdo,COL,1992.0
65,Jürgen Locadia,CUW,1993.0
66,Leonardo Ulloa,ARG,1986.0
67,Lewis Dunk,ENG,1991.0
68,Liam Rosenior,ENG,1984.0
69,Markus Suttner,AUT,1987.0
70,Mathew Ryan,AUS,1992.0
71,Pascal Groß,GER,1991.0
72,Sam Baldock,ENG,1989.0
73,Shane Duffy,IRL,1992.0
74,Solly March,ENG,1994.0
75,Tomer Hemed,ISR,1987.0
76,Uwe Hünemeier,GER,1986.0
77,Aaron Lennon,ENG,1987.0
78,Aiden O'Neill,AUS,1998.0
79,Ashley Barnes,ENG,1989.0
80,Ashley Westwood,ENG,1990.0
81,Ben Mee,ENG,1989.0
82,Charlie Taylor,ENG,1993.0
83,Chris Wood,NZL,1991.0
84,Georges-Kévin N'Koudou,CMR,1995.0
85,Jack Cork,ENG,1989.0
86,James Tarkowski,ENG,1992.0
87,Jeff Hendrick,IRL,1992.0
88,Jonathan Walters,IRL,1983.0
89,Jóhann Berg Guðmundsson,ISL,1990.0
90,Kevin Long,IRL,1990.0
91,Matthew Lowton,ENG,1989.0
92,Nahki Wells,BER,1990.0
93,Nick Pope,ENG,1992.0
94,Phil Bardsley,SCO,1985.0
95,Robbie Brady,IRL,1992.0
96,Sam Vokes,WAL,1989.0
97,Scott Arfield,CAN,1988.0
98,Stephen Ward,IRL,1985.0
99,Steven Defour,BEL,1988.0
100,Tom Heaton,ENG,1986.0
101,Andreas Christensen,DEN,1996.0
102,Antonio Rüdiger,GER,1993.0
103,Callum Hudson-Odoi,ENG,2000.0
104,Cesc Fàbregas,ESP,1987.0
105,Charly Musonda Jr.,BEL,1996.0
106,César Azpilicueta,ESP,1989.0
107,Danny Drinkwater,ENG,1990.0
108,David Luiz,BRA,1987.0
109,Davide Zappacosta,ITA,1992.0
110,Eden Hazard,BEL,1991.0
111,Emerson Palmieri,ITA,1994.0
112,Ethan Ampadu,WAL,2000.0
113,Gary Cahill,ENG,1985.0
114,Jeremie Boga,CIV,1997.0
115,Marcos Alonso,ESP,1990.0
116,Michy Batshuayi,BEL,1993.0
117,N'Golo Kanté,FRA,1991.0
118,Pedro,ESP,1987.0
119,Ross Barkley,ENG,1993.0
120,Thibaut Courtois,BEL,1992.0
121,Tiemoué Bakayoko,FRA,1994.0
122,Victor Moses,NGA,1990.0
123,Willian,BRA,1988.0
124,Willy Caballero,ARG,1981.0
125,Álvaro Morata,ESP,1992.0
126,Aaron Wan-Bissaka,COD,1997.0
127,Alexander Sørloth,NOR,1995.0
128,Andros Townsend,ENG,1991.0
129,Bakary Sako,MLI,1988.0
130,Christian Benteke,BEL,1990.0
131,Damien Delaney,IRL,1981.0
132,Freddie Ladapo,ENG,1993.0
