team_id,team
1,Arsenal
2,Bournemouth
3,Brighton
4,Burnley
5,Chelsea
6,Crystal Palace
7,Everton
8,Huddersfield
9,Leicester City
10,Liverpool
11,Manchester City
12,Manchester Utd
13,Newcastle Utd
14,Southampton
15,Stoke City
16,Swansea City
17,Tottenham
18,Watford
19,West Brom
20,West Ham
21,Cardiff City
22,Fulham
23,Wolves
24,Aston Villa
25,Norwich City
26,Sheffield Utd
27,Leeds United
28,Brentford
29,Nott'ham Forest
30,Luton Town
31,Ipswich Town
32,Alavés
33,Athletic Club
34,Atlético Madrid
35,Barcelona
36,Betis
37,Celta Vigo
38,Eibar
39,Espanyol
40,Getafe
41,Girona
42,La Coruña
43,Las Palmas
44,Leganés
45,Levante
46,Málaga
47,Real Madrid
48,Real Sociedad
49,Sevilla
50,Valencia
51,Villarreal
52,Huesca
53,Rayo Vallecano
54,Valladolid
55,Granada
56,Mallorca
57,Osasuna
58,Cádiz
59,Elche
60,Almería
61,Amiens
62,Angers
63,Bordeaux
64,Caen
65,Dijon
66,Guingamp
67,Lille
68,Lyon
69,Marseille
70,Metz
71,Monaco
72,Montpellier
73,Nantes
74,Nice
75,Paris S-G
76,Rennes
77,Saint-Étienne
78,Strasbourg
79,Toulouse
80,Troyes
81,Nîmes
82,Reims
83,Brest
84,Lens
85,Lorient
86,Clermont Foot
87,Ajaccio
88,Auxerre
89,Le Havre
90,Augsburg
91,Bayern Munich
92,Dortmund
93,Eint Frankfurt
94,Freiburg
95,Gladbach
96,Hamburger SV
97,Hannover 96
98,Hertha BSC
99,Hoffenheim
100,Köln
101,Leverkusen
102,Mainz 05
103,RB Leipzig
104,Schalke 04
105,Stuttgart
106,Werder Bremen
107,Wolfsburg
108,Düsseldorf
109,Nürnberg
110,Paderborn 07
111,Union Berlin
112,Arminia
113,Bochum
114,Greuther Fürth
115,Darmstadt 98
116,Heidenheim
117,Holstein Kiel
118,St. Pauli
119,Atalanta
120,Benevento
121,Bologna
122,Cagliari
123,Chievo
124,Crotone
125,Fiorentina
126,Genoa
127,Hellas Verona
128,Inter
129,Juventus
130,Lazio
131,Milan
132,Napoli
133,Roma
134,SPAL
135,Sampdoria
136,Sassuolo
137,Torino
138,Udinese
139,Empoli
140,Frosinone
141,Parma
142,Brescia
143,Lecce
144,Spezia
145,Salernitana
146,Venezia
147,Cremonese
148,Monza
149,Como
150,Nottingham Forest
151,Sunderland
152,Real Betis
153,Pisa
154,St Pauli
155,Oviedo
156,West Ham United
157,Eintracht Frankfurt
158,Paris FC
159,Paris Saint-Germain
160,Newcastle United
161,Tottenham Hotspur
