player_id,team_id,league_id,season_id,Pos,Age,Matches_Played,Matches_Started,Minutes_Played,Full_Match_Equivalents,Goals,Assists,Goal_Contributions,Expected_Goals,Expected_Assists,NonPenalty_Expected_Goals,Shots,Shots_On_Target,Progressive_Carries,Progressive_Passes,Touches,Key_Passes,Pass_Attempts,Pass_Completed,Shot_Creating_Actions,Carries,Goal_Creating_Actions,Tackles,Interceptions,Blocks,xg_diff,xa_diff,progressive_actions,defensive_index
1,1,1,1,MF,26.0,24,21,1846,20.5,7,8,15,6.1,5.4,6.1,56,25,61,134,1480.0,28.0,1277,1065,63,1082.0,13.0,35,24,14,0.9000000000000004,2.5999999999999996,195,73
2,1,1,1,"DF,MF",19.0,15,8,914,10.2,0,0,0,0.2,0.9,0.2,5,0,21,35,762.0,8.0,640,530,18,425.0,0.0,25,12,15,-0.2,-0.9,56,52
3,1,1,1,"MF,FW",21.0,26,22,1830,20.3,3,5,8,3.9,3.5,3.9,45,22,93,138,1358.0,36.0,1171,997,82,1058.0,12.0,19,7,19,-0.8999999999999999,1.5,231,45
4,1,1,1,DF,23.0,3,3,241,2.7,0,0,0,0.3,0.5,0.3,9,2,19,16,203.0,5.0,158,124,13,125.0,0.0,5,6,5,-0.3,-0.5,35,16
5,1,1,1,FW,26.0,32,26,2202,24.5,14,4,18,13.7,4.4,12.1,66,32,39,59,980.0,36.0,744,558,95,621.0,13.0,24,7,19,0.3000000000000007,-0.40000000000000036,98,50
6,1,1,1,"MF,FW",28.0,19,17,1503,16.7,7,3,10,8.1,4.9,7.3,68,24,50,149,1145.0,50.0,927,643,122,866.0,14.0,20,6,5,-1.0999999999999996,-1.9000000000000004,199,31
7,1,1,1,DF,22.0,12,10,866,9.6,0,0,0,1.4,0.1,1.4,10,3,11,43,759.0,2.0,630,521,9,456.0,1.0,17,18,14,-1.4,-0.1,54,49
8,1,1,1,"FW,MF",26.0,28,12,1194,13.3,5,2,7,5.5,1.4,5.5,32,13,30,23,548.0,13.0,396,315,42,378.0,5.0,20,11,22,-0.5,0.6000000000000001,53,53
9,1,1,1,GK,28.0,5,4,381,4.2,0,0,0,0.0,0.0,0.0,0,0,0,0,147.0,0.0,144,108,0,76.0,0.0,0,0,0,0.0,0.0,0,0
10,1,1,1,FW,18.0,3,0,20,0.2,0,1,1,0.1,0.0,0.1,1,1,0,0,10.0,0.0,7,6,0,10.0,0.0,1,0,0,-0.1,1.0,0,1
11,1,1,1,"MF,DF",26.0,7,1,169,1.9,0,0,0,0.1,0.6,0.1,1,0,1,11,107.0,1.0,96,79,2,67.0,1.0,5,3,1,-0.1,-0.6,12,9
12,1,1,1,MF,24.0,38,37,3260,36.2,1,7,8,2.4,3.4,2.4,66,17,67,424,3570.0,39.0,3248,2755,113,2371.0,18.0,78,37,30,-1.4,3.6,491,145
13,1,1,1,"FW,MF",28.0,11,9,794,8.8,2,4,6,1.5,2.8,1.5,21,11,34,55,600.0,16.0,485,358,29,419.0,4.0,18,8,16,0.5,1.2000000000000002,89,42
14,1,1,1,DF,22.0,35,34,3051,33.9,2,3,5,2.2,3.9,2.2,29,8,84,134,2523.0,32.0,2193,1833,85,1446.0,8.0,57,23,42,-0.20000000000000018,-0.8999999999999999,218,122
15,1,1,1,MF,25.0,20,12,1193,13.3,1,3,4,1.1,2.6,1.1,15,5,62,108,938.0,15.0,819,701,49,679.0,5.0,15,8,10,-0.10000000000000009,0.3999999999999999,170,33
16,1,1,1,MF,17.0,2,1,82,0.9,0,0,0,0.1,0.0,0.1,1,0,1,1,54.0,0.0,40,31,0,30.0,0.0,4,1,3,-0.1,0.0,2,8
17,1,1,1,DF,19.0,3,3,195,2.2,0,0,0,0.0,0.0,0.0,0,0,1,5,126.0,0.0,103,91,0,72.0,0.0,1,6,4,0.0,0.0,6,11
18,1,1,1,DF,31.0,25,25,2225,24.7,2,0,2,1.9,0.4,1.9,9,2,25,124,2061.0,7.0,1765,1563,16,1253.0,0.0,43,54,28,0.10000000000000009,-0.4,149,125
19,1,1,1,"MF,FW",28.0,26,24,2163,24.0,4,8,12,4.4,8.7,4.4,39,13,136,277,2101.0,84.0,1933,1604,161,1526.0,17.0,20,12,11,-0.40000000000000036,-0.6999999999999993,413,43
20,1,1,1,MF,25.0,13,11,867,9.6,0,1,1,0.3,0.9,0.3,8,1,13,74,923.0,10.0,852,789,25,677.0,1.0,12,10,11,-0.3,0.09999999999999998,87,33
21,1,1,1,DF,31.0,28,26,2243,24.9,5,2,7,1.7,2.6,1.7,22,8,41,138,2071.0,13.0,1816,1603,29,1299.0,2.0,54,56,26,3.3,-0.6000000000000001,179,136
